title,author_info,rating,pros,cons,helpful
"Very professional, on the ball","Feb 3, 2014 - Student Ambassador in San Diego, CA",5,"Efficient, great marketing team and strong desire",None at the current moment,Be the first to find this review helpful
Nice company to work at if you are new in the industry,"Feb 8, 2014 - Software Engineer Intern",4,You get to work with a lot of Sr. and Smart people. I learned a lot. They have talented designers in Japan that you get to work with.,"Budget is low so no fun stuff.. No free food, not even chips or yogurt. You have to fight to get essential stuff you need. Things like magic mouse, one more display, buying softwares etc. requires approval from manager and you have to provide the business justification to why you need it.",Be the first to find this review helpful
"Great workmanship, nice payday.","Jan 6, 2014 - Sales Associate in Cleveland, OH",5,"Nice people, great work hours.",Unsatisfied with benefits at the job.,Be the first to find this review helpful
Sony Work Life,"Jan 15, 2014 - Senior Vice President in New York, NY",4,Plenty of Opportunity to Advance Prestigious Company Generous Employee Benefits,Extremely stressful work environment Revolving door for management,1 person found this review helpful
Ok place to work,"Jan 8, 2014 - Anonymous Employee",4,Work/life balance is great,"Slow top management, not much career growth",1 person found this review helpful
Great people and team cohesiveness,"Jan 10, 2014 - Software Engineer in Culver City, CA",4,"Teams were small and worked well together. Knowledge was shared across teams, and the QA/DB/Ops teams dovetailed with Dev. Everyone was quite professional.","Lack of mp3 support in the HDD player torpedoed any chance of going up against the iPod or being a serious contender, but we had no say in its features. The original office, while not as cool on the outside as the new digs, was laid out well and functional. We moved into a larger office building and the Dev team was placed next to the elevators which killed concentration with over a hundred people funneling past our desks throughout the day.",Be the first to find this review helpful
OK if you just want to follow others,"Jan 3, 2014 -",2,Good benefits Some really good people,You are treated like a pawn. Very very political place to work.,Be the first to find this review helpful
Great place to work,"Dec 31, 2013 - Leand Analyst in Woodcliff Lake, NJ",4,Good work life balance Managers willing to listen and try out new ideas,Sometimes the company is just too big,Be the first to find this review helpful
Something different everyday you come to work,"Dec 29, 2013 -",4,"environment, job culture, products and co-workers","lack of advancement, bonus interferes with team environment at times",Be the first to find this review helpful
Its ok,"Dec 27, 2013 - Product Specialist In Bestbuy in Glen Burnie, MD",3,easy way to learn all the sony products,never get the needed material or products to do the demo. took 3 months to even get a usb stick for the tv demos.,Be the first to find this review helpful
It's a good company.,"Dec 22, 2013 -",4,The atmasphere is very motivated.,Re-organization cause some problems and let employees feel confused.,Be the first to find this review helpful
Sony,"Dec 18, 2013 -",4,work culture is amazing and nice,not reliable and job security,Be the first to find this review helpful
Was an experience,"Nov 28, 2013 - Anonymous Employee",2,Sony is a good name,Management and turnover was awful,Be the first to find this review helpful
Good place to work for.,"Oct 30, 2013 - Machine Operator in Elmhurst, IL",3,Learning experience for a line operator,working hours were too incinsistant,Be the first to find this review helpful
Best Experience,"Oct 11, 2013 -",5,Good quality work and cool environment,"No cons at all, the culture is great to work",Be the first to find this review helpful
Awesome place to work! Excellent products,"Sep 28, 2013 - Project Manager in Research Triangle Park, NC",5,Top notch best in the industry benefits Nice perks from Sony Fun to work on products that you use every day,Management in Sweden and Japan is shortsighted when it comes to looking forward several years,1 person found this review helpful
Great company but in a very competitive business,"Oct 10, 2013 - Manager in Research Triangle Park, NC",4,"Treats employees well, great benefits",Transitions to new mobile platforms were difficult,Be the first to find this review helpful
One of the best companies I ever worked for. I was in charge of Customer Service for the Caribbean area from 91 to 96',"Sep 25, 2013 - Service Manager in San Juan, PR",5,They pay for employees training within their expertise field.,I can't say anything negative from my experience with SONY Corp.,Be the first to find this review helpful
